sentenca,categoria
"Atendimento do Marcos e Rodrigo Uchoa ótimos, melhores garçons.",serviço
Ambiente confortável com atendimento de primeira e comida excelente.,"serviço,comida,ambiente"
"Ótimo atendimento, não parava de comer.kkkk",serviço
"Comida farta e saborosa, preços ótimos, atendimento satisfatório, ambiente familiar.","serviço,comida,ambiente,preço"
Cardápio com preços muito honesto  Vale conferir o brigadeiro de peixe Não esquecer de curtir um SUP!!,"comida,ambiente,preço"
"Fomos super bem atendidos pelo Roberto, excelente garçom, muito cuidadoso com todos.",serviço
Péssimo atendimento.,serviço
"Lugar Ideal Pra Quem Procura Um bom Atendimento, Boa Comida E Excelente Ambiente.","serviço,comida,ambiente"
"super indico, crianças até 22:00 hrs, com se responsáveis ??",serviço
Garçom Senna super atencioso,serviço
"Fui atendido, sem absolutamente  nenhuma cerimônia, nenhum simples pedido de desculpa.",serviço
O menu é incrível e o atendimento perfeito.,"serviço,comida"
"Lugar charmoso e aconchegante, comida deliciosa e ótimo atendimento.","serviço,comida,ambiente"
"Atendimento excelente, música mpb ao vivo e  a refeição deliciosa","serviço,comida,ambiente"
Atendimento rápido e preço camarada,"serviço,preço"
Excelente restaurante... atendimento ótimo,"serviço,geral"
"Garçom celso, parabéns pelo seu atendimento super da hora top de mas parabéns",serviço
"Custa em torno de 250,00, comem 5 ou seis adultos famintos.",outros
"Ambiente agradável, comida otima e atendimento excelente.","serviço,comida,ambiente"
Coisas muito caras.,preço
Excelente atendimento,serviço
"Atendimento muito bom, e sempre fazem promoções muito boas em termos de custo e benefício.","serviço,preço"
Qualidade e bons preços,preço
"Dica de prato: matrinxã recheado é sensacional e de sobremesa creme de cupuaçu, que é muito bom também.",comida
Excelente atendimento!,serviço
Excelente atendimento,serviço
O serviço é meio do tipo antigo e lento.,serviço
"Comida deliciosa, atendimento muito bom e preço razoavelmente justo.","serviço,comida,preço"
"No Banzeiro encontramos excelente gastronomia brasileira e regional, com pratos elaborados, criativos e deliciosos.",comida
Bom restaurante e ótimo atendimento do garçom Senna.,"serviço,geral"
"Um excelente atendimento, clima agradável e o ambiente bastante adorável, fomos recepcionados da melhor maneira pela atendente Marcela, sempre sorrindo, sendo gentil comigo e meus amigos,mostrando as melhores pedidas e melhores bebidas.","serviço,bebida,ambiente"
"Ótimo menu, excelente atendimento, preço justo.","serviço,comida,preço"
Ótimo excelente lugar agradável Boa comida nota 10,"geral,comida"
"Gosto muito de lá, localcalmo, ambiente rústico, peixes bem preparados, um caldinho gostoso e preços módicos","comida,ambiente,preço"
Atendentes simpáticas.,serviço
"Ketherin  atendimento excelente, porém fica a sugestão que os bolinhos e a macaxeiras sejam frito na hora que o cliente fazer o pedido","serviço,comida"
Ótimo atendimento e um dos melhores locais em Manaus para comer doces e salgados sem arrependimentos!,"serviço,comida"
Sanduíche maravilhoso e lugar muito agradável,"comida,geral"
"Boa qualidade, preço bom pra rodízio e bom atendimento","serviço,comida,preço"
"Excelente atendimento do Rafael Viera Ambiente bonito, musica prazerosa.","serviço,ambiente"
Muito bom... Ótimo atendimento...,serviço
"Excelente restaurante, atendimento muito bom e preços acessíveis no cardápio!","serviço,geral,preço"
Muito bom atendimento do garçom Fernando e ótima comida!!!,"serviço,comida"
"Com um excelente atendimento, boa acomodação e uma comida maravilhosa!","serviço,comida,ambiente"
"Atendimento rápido, várias opções no cardapio, tradionalmente bom em carnes, pedir com atenção!","serviço,comida"
"Ótimo lugar para comer bem, com qualidade e bom atendimento.","serviço,comida"
"Local e músicas muito bom, super bem atendida mas a pizza é muito ruim.","serviço,comida,ambiente"
"Eles tinham 6 cozinheiros de linha visíveis @ todos os tempos, as mesas eram limpas rapidamente e ninguém parecia encontrar garçons difíceis de encontrar.","serviço,ambiente"
Atendimento de altíssima qualidade.,serviço
"Boa qualidade da comida e bom atendimento, porém os preços são altos.","serviço,comida,preço"
"A comida é muito boa, atendimento muito bom e local muito bem decorado, com bom gosto.","serviço,comida,ambiente"
"Saborosa, criativa, lindamente servida (gourmet) e em quantidade relativamemte generosa.",comida
"Nos atendeu sa melhor forma, me serviu um peixe que eu...Mais",serviço
": Tem uma parte com mesas menores porém fica no sol embaixo de uma estrutura linda de vidro, a noite deve ser bem legal.",ambiente
"Horrível o tempo de espera para RETIRADA do pedido (sendo que era um pedido frio), ceviche parecia uma sopa, só “caldo” e o temaki já foi maior, agora é mini temaki.","serviço,comida"
"Ótimo atendimento, ambiente familiar agradável, fomos mt bem recebidos pelo Sheldon, parabéns, otimo trabalho","serviço,ambiente"
O restaurante é excelente com um atendimento digno de reverência.,"serviço,geral"
"Atendimento excelente,e comida nota 1000","serviço,comida"
Excelente atendimento do Emanuel Carioca !,serviço
Muito bom picanha de primeira qualidade facil acesso climatizado otimo mesmo pra todas as horas bom de mais,"comida,ambiente"
"Excelente atendimento é maravilhoso acompanhamento , e ótimas sugestões para nosso momento entre Irmãs.","serviço,comida"
Bom atendimento dos garçãos.,serviço
"Muito bom, recomendo para um passeio diferente em família, boas opções gastronômicas é um flutuante à beira do rio onde vc pega uma pequena embarcação para chegar até ela, mas é super seguro.",ambiente
Aperitivos de boa qualidade e bom atendimento.,"serviço,comida"
"Pratos deliciosos, autênticos, com preços normais.","comida,preço"
"Rodízio bom com boas opções tendo muitas das vezes que fui ao local, um atendimento consistente e pratos também, sendo deliciosos.","serviço,comida"
Atendimento excelente e preço super acessível,"serviço,preço"
Excelente atendimento.,serviço
"Local lindíssimo, atendimento excelente, organizado e comida saborosa.","serviço,comida,ambiente"
"Estava gostoso, atendimento bom e não deixou nada a desejar.","serviço,comida"
"Ótimo atendimento, ambiente limpo e playlist muito boa!","serviço,ambiente"
"Comi um escondidinho de carne seca maravilhoso além da variedade de comida nordestina no self service, sem contar o delicioso petit gateau que eles servem, simplesmente delicioso.",comida
Atendimento excepcional.,serviço
Atendimento ruim.,serviço
"As vezes compro frango na brasa pra comer em casa, e, ultimamente não tive boas experiências como antes, acho que mudaram de cozinheiro ou de tempero, não sei, tá diferente mais não melhor como antes.",comida
Atendimento atencioso.,serviço
"Excelente atendimento do Garçom Edson, Prato Coco Bambu muito bem servido e cremoso como prometido.",serviço
Sugestão: melhorar a higienização dos banheiros e investir em treinamento para o atendimento ao cliente ou ainda contratar garçons que possam fazer bons atendimentos e não abandonem os clientes à mesa.,"serviço,ambiente"
Variedade e bom atendimento!,serviço
"A comida demorou, atendimento ruim, a bebida só chegou quando a comida acabou, os atendendentes não te dão muita atenção para a sua reclamação quanto ao pedido.",serviço
"Pessoal, recomendo, essa tem uma grande variedade de Cachaça, ultimamente ganhou o premio da revista veja, além de um excelente atendimento, um toicinho delicioso, mais esta sempre cheio, tem que ser paciente para conseguir uma mesa, isso torna, ate mais atrativo.",serviço
Local agradável e com pessoal super atencioso.,"serviço,geral"
Excelente atendimento e comida amazônica com toque requintado.,"serviço,comida"
"Não dou 5 estrelas porque na maioria das vezes que estivemos neste restaurante, os garçons não serviram nossos pratos como costumam fazer nos restaurantes do mesmo nível e até mesmo da mesma rede em outras cidades.",serviço
"Ótimo, atendimento sempre muito bom e comida sempre ótima.","serviço,comida"
"Na época da cheia vale a pena aliviar o calor amazônico em um flutuante e o Abaré é a melhor pedida, ambiente agradável, contato total com a natureza, excelente atendimento e comida deliciosa.","serviço,comida,ambiente"
"Restaurante ótimo para família, ótimo atendimento","serviço,geral"
Excelente opção para uma imersão na gastronomia amazônica.,comida
"Comida muito boa, mas faltou um um som ambiente","comida,ambiente"
"Ótimo atendimento do Rafael, comida muito gostosa, sempre mantendo o padrão de sabor e atendimento","serviço,comida"
"Um ambiente super agradável, com atendimento excelente e a comida muito saborosa.","serviço,comida,ambiente"
Olhar bem o cardápio para evitar surpresas na hora do fechamento da conta é uma boa dica.,preço
"Excelente atendimento, está de parabéns a senhora Ketherin.",serviço
"Funcionários atenciosos, pizza maravilhosa massa fina, bem cozida, uma delícia fora o ambiente super agradável.","serviço,comida,ambiente"
Atendimento maravilhoso,serviço
Tudo de excelente qualidade,comida
"Ótimo restaurante para quem aprecia um boa culinária chinesa, bem localizado e com ótimos funcionais e preços justos.","serviço,comida,localização,preço"
"Ótimo lugar , ambiente climatizado , ótimo atendimento , boa localização,  comida perfeita e bem apresentada e um ótimo açaí.","serviço,comida,ambiente,localização,geral"
Atendimento muito bom.,serviço
"Bom o ambiente, ..  mais as coisas caras","ambiente,preço"
Vocês sabem tornar o atendimento impecável.,serviço
"Vale muito a pena conhecer, lugar show de bola e ótimo atendimento!","serviço,geral"
O atendimento foi bom o frango não tava bom a carne tava um pouco melhor precisa melhorar mas foi a primeira vez que fomos ai,"serviço,comida"
"Confesso que fiquei receosa por ser a primeira vez, mas me surpreendi totalmente.",geral
"O preço é um pouquinho salgado, porém o nível do restaurante compensa.","geral,preço"
tudo de bom parente.,geral
Excelente serviço.,serviço
"Melhor restaurante de Manaus, ótimo  atendimento  lugar climatizado limpo ótima comida peixe fresquinho maravilhoso ...","serviço,comida,ambiente,geral"
"Lugar agradável, bom atendimento e comida deliciosa!","serviço,comida,geral"
Ótimo atendimento!,serviço
Não é de admirar este lugar tem sido consistentemente melhor restaurante foi classificado em Manaus nos últimos anos.,geral
Bebida gelada e atendimento razoável.,"serviço,bebida"
Muito boa atendentes maravilhosos lugar super bom comida de alta qualidade o melhor garçom  e o Fabiano.,"serviço,comida"
"Excelente, o garçom Anderson Ferreira fez toda a diferença, super atencioso.",serviço
O restaurante ficou muito lindo e com uma iluminação gostosa - alguns lugares mais escuros e outros mais clarinhos.,ambiente
Gostaria de registar o ótimo atendimento e orientação dos pratos servidos.,"serviço,comida"
"Comida excelente, atendimento impecável seguindo todos os protocolos de segurança.","serviço,comida"
O único problema e o estacionamento.,localização
"Ótima comida regional de qualidade, bom atendimento, várias opções de pratos e bebidas... ótimo restaurante.","serviço,comida,geral"
"Rodizio muito bom,comida estava ótima e chegava rápido, atendimento bom  recomendo bastante esse restaurante","serviço,comida"
"O atendimento excelente, comida maravilhosa e o preço bem acessível... parabéns aos proprietários.","serviço,comida,preço"
"Ótimos pratos, comida e ambiente muito bons, atendimento eficiente, garçom Ricardo José super atencioso e educado","serviço,comida,ambiente"
Atendimento rápido e comida de qualidade!,"serviço,comida"
Solicitei cebola extra e o estabelecimento atendeu meu pedido.,serviço
Restaurante com ótimo atendimento :),serviço
"Local quente, sujo, com funcionários emburrados, o banheiro feminino não tem trinca, perguntei ao atendente, fez cara feia e disse que é assim mesmo!","serviço,ambiente"
"Local agradável, o som é extremamente alto e não permite conversar, as nossas primeiras experiências com a comida foram excelentes porém ultimamente a qualidade está a desejar.","comida,geral,ambiente"
Atendimento impecável ???,serviço
Atendimento razoável.,serviço
"Temaki muito bom, lugar agradável, atendimento diferenciado, preços bons.","serviço,comida,geral,preço"
O atendimento merece elogio especial pela diferenciada atenção dispensada aos clientes.,serviço
O local é super agradável tem um ótimo atendimento os pratos são espetaculares  desde a entrada ao prato principal ... Recomendo.,"serviço,geral,comida"
Atendimento excelente do garçom Anderson Souza!,serviço
"Padrão de atendimento altíssimo, raramente vc levanta a mão sem ser visto, garçons bem treinados e educados, barmen e bargirls do lounge muito simpáticos, comida muito gostosa, bem feita, chega sempre quente à mesa, as vezes as bebidas demoram um pouco no horário de happy hour, mas posso entender motivo, com 50% de desconto nas bebidas a demanda aumenta.","serviço,comida"
"Comida excelente ... preço adequado, os pratos servem bem... ambiente agradável e famiar... atendimento excelente","serviço,comida,ambiente,preço"
"Ambiente super agradável, excelente atendimento e produtos de qualidade inquestionáveis.","serviço,comida,ambiente"
"Excelente ambiente, atendimento perfeito.","serviço,ambiente"
"Comida deliciosa, atendimento ótimo e agora estão com varias promoções pra almoço e jantar.","serviço,comida,preço"
"Excelente atendimento principalmente do garçom que nos atendeu ( Pablo), a comida tava impecável e uma delícia!","serviço,comida"
"Muito boa, bom atendimento, comida boa.","serviço,comida"
"Serviço excelente, churrasco delicioso.","serviço,comida"
"Situado em um dos bairros nobres de Manaus é um lugar sofisticado, amplo e elegante com comidas de peixe tipicamente amazonense e o atendimento é  de otima qualidade.","serviço,comida,geral"
"Contando com excelentes instalações e situado no coração gastronômico do bairro Vieiralves, a casa possui um cardápio variado de cozinha internacional com leves toques de regionidade em alguns pratos, o que deve agradar a uma  clientela bastante diversificada.","comida,ambiente"
Lugar muito bonito excelente atendimento e uma comida super saborosa... parabéns,"serviço,comida,ambiente"
"Local agradável, açaí de boa qualidade","serviço,comida"
"O atendimento do garçom Luiz, excelente.",serviço
"Atendimento de alto nível, ambiente famíliar, massas delíciosas, drinks maravilhosos.","serviço,comida,bebida,ambiente"
Só o pirarucu que eu pedi que estava mto seco.,comida
Muito bom atendimento e comidas exelentes!,"serviço,comida"
"Excelente comida, local agradável, bom atendimento.","serviço,comida,geral"
"A pizza e a pior que comi em Manaus, a massa da pizza é braaanca e sem gosto, o pessoal é super atencioso mais a comida é mala não volto mais, para quem deseja saber o custo vale 35 o rodízio por pessoa e o refrigerante é fora parte 5 reais cada refrigerante o suco é malo, desses que vc compra no supermercado em sacola pequena congelada.. o lugar é bom mais se a comida for mala todo é malo","serviço,comida"
Pão de qualidade ruim.,comida
Achei o atendimento muito bom também!,serviço
"Restaurante espetacular, atendimento excelente, profissionais bem treinados e atenciosos além do paladar maravilhoso.","serviço,comida,geral"
Excelente atendimento.,serviço
O sabor é o típico e original da culinária lusitana e os preços bastante competitivos.,"comida,preço"
Melhor atendimento.,serviço
Excelente atendimento... parabéns coco bambu,"serviço,geral"
Mesmo não tendo feito reserva encaramos uma espera de 2 horas de maneira confortável e com atendentes sempre atenciosos.,serviço
"Atendimento muito demorado ignoraram a nossa mesa varias vezes, e a comida não foi a das melhores, acredito que há melhores opções pelo mesmo preço ou até mais barato.","serviço,comida,preço"
Pratos executivos com preços acessíveis,preço
Atendimento fraco!!,serviço
"Fui almoçar com uma amiga em minha primeira visita a Manaus, comida excelente, experiência incrível e atendimento muito bom!","serviço,comida,geral"
fiz a reserva pelo site e foi super tranquilo.,serviço
Atenção no atendimento diante do meu grande nível de exigência.,serviço
Super indico sem medo de ser feliz!!,geral
Musica ambiente.,ambiente
"Ambiente lindo, atendimento impecável, comida deliciosa!!!!","serviço,comida,ambiente"
"A única coisa que gostei foi o atendimento, o pessoal faz tudo para deixar o momento mais sofisticado, fora isso em nada representa a cozinha Manauara.",serviço
Peixe maraviloso atendimento  muito bom perfeito ambiente confortavel bom para festejo com a familia e o preco vale a pena ir degustar do peixe amazonico,"serviço,comida,ambiente"
Bom atendimento.,serviço
"Nunca decepciona, atendimento impecável e comida deliciosa","serviço,comida"
Ótimo atendimento e rápido bacana,serviço
"Adorei, muito bem servido, e com um excelente atendimento.",serviço
"Atendimento muito bom, ambiente climatizado.","serviço,ambiente"
"Drinks gostosos, pratos pra crianças e alternativas para quem não come peixe.","serviço,comida,bebida"
Ótimo atendimento e comida deliciosa.,"serviço,comida"
"Excelente estrutura,  não sou exigente e qualidade do serviço é legal, as pizzas numa escala de 1 a 10, dou nota 8.","serviço,ambiente,comida"
Comida muito boa atendimento bom e rápido .,"serviço,comida"
SUPER INDICO!!,geral
"Um ótimo atendimento, indico muito.",serviço
Muito bom o atendimento,serviço
maionese muito ruim que acompanha o peixe frito.,comida
"Comida com paladar médio, nada demais e sugiro que não vá com fome, pois a comida demora pra chegar e o prato é super mal servido!","serviço,comida"
Gostei muito e super indico.,geral
"A comida como sempre é maravilhosa, porém em Manaus não tive um bom atendimento.","serviço,comida"
"Ambiente agradável, comida deliciosa e bom atendimento.","serviço,comida,ambiente"
"Manaus tem lugares maravilhosos entre eles estão os flutuantes no Rio negro , nessas férias fui ao flutuante Abare Sup & food,  o atendimento bom , cerveja bem gelada, música de qualidade , ao final do dia é possível ter um dos mais belos visuais...Mais","serviço,geral,comida,ambiente,bebida"
"Comida boa, atendimento bom, lugar muito chamativo e limpo.","serviço,comida,ambiente"
"Bem recepcionado,pessoal bem treinado e educado.Pirarucu fantástico,pena que o molho camarão um pouquinho salgado,mas no geral formidável.Sorvete de tucumã muito bom mesmo.Bons preços.","serviço,comida,preço"
"Qualidade excepcional, rodízio com preço justo e ambiente muito bom para sair em grupo.","comida,ambiente,preço"
Ótimo serviço.,serviço
"Atendimento correto, cardápio satisfatório.","serviço,comida"
Lugar arejado para tomar uma cerveja gelada e com excelentíssimo atendimento.,"serviço,ambiente,bebida"
"Ambiente agradável e bom atendimento, especialmente o rapaz Sauro","serviço,ambiente"
Ótimo peixe e ótimo atendimento,"serviço,comida"
"Atendimento bom, ambiente tranquilo e confortável.","serviço,ambiente"
"Atendimento maravilhoso, comida saborosa... Muito bom !","serviço,comida"
A piscina para crianças imprópria para o banho.,ambiente
Comida de qualidade .. funcionários educados Boa estrutura,"serviço,comida,ambiente"
"Boa localização, atendimento legal, ambiente grande e ventilado, sem ar condicionado.","serviço,ambiente,localização"
Gostei da atendente da nossa mesa...creio que todos sejam do mesmo padrão.,serviço
"Muito boa cozinha, bacalhau no ponto certo de cozimento e dessalgado na maneira correta, ressaltando paladar do peixe .",comida
"Comida com excelente qualidade, ambiente aconchegante, bom representante dos costumes gastronômicos locais.","comida,ambiente"
Preços altos.,preço
"Lugar excelente, mas atendimento péssimo, pessoal meio perdido nos procedimento!","serviço,geral"
Atendimento ótimo e cordialidade.,serviço
"Atendimento excelente pelo Rodrigo Uchôa, comida tooooppp tudo uma delícia, com certeza voltarei!","serviço,comida"
"Paguei caro por um atendimento péssimo, fiquei envergonhado com a família","serviço,preço"
"Atendimento excelente da colaboradora Raynara, unidade praça 14.",serviço
A fatia é grande rsrs.,comida
Sempre tem umas promoções bacanas e acessíveis.,preço
"Adoro esse lugar, comida excelente,  atendimento de primeira qualidade,  lugar bonito e muito bem frequentado e o preço é ótimo.","serviço,comida,ambiente,preço,geral"
"Os produtos da Tortas & Tortas são deliciosos e de boa qualidade, o preço é que é um pouco elevado, no entanto, ainda não encontrei em outro lugar uma torta de limão como a de lá.","comida,preço"
Atendimento excelente,serviço
Ótimo atendimento,serviço
"Noite agradável, tratamento atencioso e rápido, garçom Marcos bem atencioso e amigável, valeu muito a pena.",serviço
"Tudo é muito gostoso, porções bem servidas, a carne ainda não fui em nenhum lugar, em Manaus, que tivesse igual, bem suculenta, macia, DE PRIMEIRA qualidade.",comida
Funcionários muito educados e bem preparados.,serviço
Pela 2° vez que estive foi  decepção  total.,geral
"Melhor peixe da cidade,o único problema é o estacionamento","comida,localização"
Atendimento ótimo.,serviço
"Estava fria e espalhada A primeira vez que pedi estava maravilhoso, dessa vez realmente não valeu a pena nada no que paguei .",comida
"Ótimo atendimento do garçom Rafael, e a comida estava saborosa!","serviço,comida"
o único problema são as escadas que você precisa subir para acessar o restaurante.,ambiente
"Atendimento excelente, bem localizado e com opções vegetarianas","serviço,comida,localização"
"Comida ok, atendimento bom.","serviço,comida"
"Tbem amei as exposiçoes de coisas antigas, e o sino, achei super diferente e legal.",ambiente
"Restaurante Sensacional, Comida Saborosa, Ótimo atendimento por parte de toda a equipe, Principalmente do Garçom Izaquiel, atencioso e muito educado.","serviço,geral,comida"
"Atendimento ruim, garçons desatentos e sem comando.",serviço
"Lugar maravilhoso, piscina enorme, o único problema é o preço e a qualidade da comida!","geral,ambiente,comida,preço"
"Bom serviço, boa comida e bom atendimento!","serviço,comida"
Excelente atendimento.,serviço
"Lugar maravilhoso, adoro ir no da Livraria do Shopping, Saraiva, e lá tem uma Waku Sese, adoro ir lá ler e tomar meu café  com pão de queijo, mas as outras unidades também são ótimas, o atendimento muito bom!","geral,bebida,comida"
"Já fui em muitos restaurantes, até mesmo os de baixo nível, mas sinceramente isso é chato, ir em um restaurante de alto nível e encontrar um tapuru no arroz, um amigo até comentou sobre essa situação que tinha acontecido com eles recentemente, tentei até relevar...Mais",comida
"Lugar bonito e agradável,  Boa comida, garçons  atenciosos.","serviço,comida,ambiente"
Atendimento ótimo!,serviço
Melhor atendimento por parte da equipe da casa.,serviço
"Valeu a pena cada centavos , atendimento muito bom e carnes boas .","serviço,comida,preço"
"Comida boa , atendimento bom , somente a questão de reservas que é horrível , fiz uma reserva e na hora que cheguei não estava lá o meu nome , muita irresponsabilidae!!","serviço,comida"
"Como muitos estabelecimentos em Manaus, este possui um atendimento péssimo.",serviço
"Excelente opção em Manaus, comida típica e ambientes de excelente qualidade.","geral,comida,ambiente"
"Unidade de São Paulo - Restaurante ótimo e agradável, com atmosfera que nos transporta a Manaus e ao que é proposto, conjuntamente com os pratos com gastronomia diferente ao que estou acostumada, e que no entanto surpreendente e agradável, fomos em família para comemorar um...Mais","geral,comida"
Fui três vezes com a família para jantar (7 pessoas) e sempre manteve o bom nível.,geral
Comida de ótima qualidade e com  funcionários bem educados.,"serviço,comida"
"Péssima atendimento da dona do local uma pessoa mau educada não te diz nem boa noite ,funcionários nota 10 mais educado que a dona que só sabe da atenção p blogueiros qnd está lá ... pessoa que vive de cara fechada , já não vou mais lá ... Sabe nem conversa com funcionários briga na frente dos cliente desnecessário isso mais respeito e educação ... Não recomendo !",serviço
Uma ótima opção para conhecer a gastronomia local.,comida
"Na cozinha a agitação tem nome: Felipe Schaedler, o jovem chef que fez fama ao utilizar elementos inusitados na sua cozinha regional e recentemente fincou um pé na capital paulista, com uma...filial.",serviço
"Atendimento ótimo, preço muito bom, pizza saborosa, nota 10","serviço,comida,preço"
Mais uma vez ótimo!!,geral
"Ótimo,lugar tranquilo...atendimento excelente.","serviço,geral"
Ótimo atendimento nas mesas.,serviço
Atendimento bom.,serviço
"O garçom Medson nos atendeu muito bem, toda hora presente.. recomendo muito!",serviço
"Já fui várias vezes e sempre fico feliz e satisfeita com tudo, atendimento cordial, comida muito boa e bem servida, uma variedade incrível pra vc escolher.","serviço,comida"
Preços acessíveis.,preço
No dia que fui o banheiro estava mal cuidado e nem tinha sabão para lavar as mãos.,ambiente
"Atendimento excelente, pizza saborosas.","serviço,comida"
Comida extremamente boa e ótimo atendimento.,"serviço,comida"
Drinks deliciosos e tem dia que quando pede um ganha outro.,bebida
Muito bom  atendimento  gaçon Jorge  não deixa  nada a desejar chopp na hora bem gelado  super atencioso .,"serviço,bebida"
Atendimento péssimo,serviço
"A carne estava maravilhosa, ótimo atendimento e lugar agradável.","serviço,comida,geral"
"Bem organizado, atendimento muito bom e estacionamento pra pessoas com necessidades especiais.","serviço,ambiente,localização"
Bom atendimento.,serviço
"Não tem boa qualidade, atendimento bagunçado!",serviço
Ótimo atendimento e bacalhau bem preparado.,"serviço,comida"
"Lugar muito bom, familiar, comida maravilhosa, atendimento muito bom.","serviço,comida,geral"
Foi ótimo Boa comida  e bom atendimento.,"serviço,comida"
Ambiente aconchegante e bom atendimento.,"serviço,ambiente"
Atendimento sensacional.,serviço
Muito delicioso o prato e c preços excelentes!,"comida,preço"
Após algum tempo esperando chamei o garçom olhou com cara feia demorou mais uns 3...Mais,serviço
Volto com certeza e vou querer o mesmo garçom kkk,serviço
Foi uma tarde agradável com atendimento top do Phelipe,serviço
"Um ambiente agradável com uma carne de sol deliciosa com guarnições a altura com um atendimento razoável,so que no domingo casa cheia!sinal q a comida e boa o preço é razoável!","serviço,comida,ambiente,preço"
Bom atendimento cerveja super gelada,"serviço,bebida"
"Estrutura boa, muito concorrido cheio de gente.",ambiente
"Atendimento acolhedor, ambiente agradável, preço justo e comida saborosa....","serviço,comida,ambiente,preço"
"Serve bem, boa mesa",serviço
Bem localizado e com atendimento de alto nível!,"serviço,localização"
"Lugar agradável, atendimento excelente","serviço,geral"
"Mas o Coco Bambu Manaus é tudo que os outros dizem ser, mas de uma maneira simples, ótimo atendimento, classe internacional nos pratos servidos de maneira singular.","serviço,comida"
"Depois de andar uns 40 metros deparamos com uma porta que não abre,tivemos que dar um volta e entrar pela porta principal,dai fomos ate o balcão e colocamos a comida chegamos no balcão de carnes ,onde encontramos uma grande resistencia e nos servir as carne de qualidade inferior fria e sem opção","serviço,comida,ambiente"
Comida típica da Amazônia em alto estilo!,comida
"Excelente ambiente, com serviço de auto padrão, grande variedade de opções no cardápio e atenção especial para frutos do mar","serviço,comida,ambiente"
Atendimento muito bom.,serviço
Excelente atendimento feito pelo garçom Júnior.,serviço
"Local muito aconchegante, atendimento excelente.","serviço,ambiente"
"Refinado, tranquilo, com boa música, excelente atendimento e menu maravilhoso!","serviço,comida,ambiente"
Ótimo atendimento.,serviço
Variedade de sabores e atendimento rápido!,"serviço,comida"
ótimo atendimento... garçom muito atencioso e educado de parabéns ANDERSON SOUZA,serviço
"Pizza de massa fina com recheio especial, atendimento excelente e ambiente aconchegante, vale muito a pena!","serviço,comida,ambiente"
Ótimo atendimento,serviço
Ótimo atendimento pelo Phelipe???,serviço
"Lugar sempre impecável, comida bem feita, preço justo, clima agradável e atendimento 10","serviço,comida,ambiente,preço,geral"
"Um dos locais regionais com maiores preços da capital, pelo preço eu esperava um sanduíche bem melhor recheado","preço,comida"
"Ambiente rústico e aconchegante, funcionários muito simpáticos.","serviço,ambiente"
"A pizza de mussarela e 4 queijos veio com borda larga, uns 2cm, e o sabor estava sem graça.",comida
#COCOBAMBUMANAUSTOP Melhor da gastronomia nordestina....,comida
Excelente atendimento.,serviço
"Gastronomia maravilhosa, música ao vivo sensacional, atendimento rápido com o garçom Izaquiel iluminação excelente para self maravilhosos.","serviço,comida,ambiente"
"Ótimo atendimento, ótimo local ,recomendo.","serviço,geral"
Se você procura uma cozinha regional de qualidade vai encontrar aqui.,comida
Gastronomia de alta qualidade,comida
Lugar animado e com atendimento excelente,"serviço,ambiente"
"Na cozinha a agitação tem nome: Felipe Schaedler, o jovem chef que fez fama ao utilizar elementos inusitados na sua cozinha regional e recentemente fincou um pé na capital paulista, com uma...filial.",serviço
"A churrascaria Búfalo tem um ótimo atendimento e com um estilo gaúcho, deixa o ambiente mais propício para saborear as diversas opções de carnes lá servidas.","serviço,comida,ambiente"
"Atendimento excelente, sabe conversar e nos manter confortáveis.",serviço
"Atentimento top, funcionários bem divertidos !!!",serviço
"A seleção do cardápio e perfeita, o garçom era um pouco confuso, mas não por falta de atenção,ao contrario,  a vontade de ser atencioso demais, acabou truncando a comunicação, era venezuelano.","serviço,comida"
"Ambiente bem climatizado, espaço kids amplo com monitora, atendimento rápido, todos são muito cordiais, destaque para Eduardo, muito atencioso, e Davi, super engraçado!!!","serviço,ambiente"
Funcionários muito atenciosos e comida deliciosa com bastante variedade.,"serviço,comida"
"Valores altos pro que entregam no prato, muitas promoções mostrando inclusive que o preço poderia ser melhor.Mais",preço
"Amplo estacionamento, atendimento rápido e eficiente além das comidas serem muito bem preparadas e saborosas.","serviço,comida,localização"
otimo bolinho de bacalhau.,comida
"Deveria ser regional, com preços acessíveis.",preço
Bom atendimento.,serviço
"Uma variedades de doces, ambiente gostoso, iluminação agradável, atendimento nota 10.","serviço,comida,ambiente"
"Comida boa e no preço top, muitas opções no cardápio, atendentes super rápidos e solícitos.","serviço,comida,preço"
"Atendimento sempre excepcional, o mesmo padrão de qualidade, ambiente limpo e super bem frequentado.","serviço,comida,ambiente"
Destaco o rápido atendimento.,serviço
"O lugar é agradável, o atendimento é bom mas os preços são um pouco salgados no almoço, tivemos um problema com a fumaça e o calor, conta apenas com uma pequena sala refrigerada, então sua ideia é fazer uma confraternização não vale a pena.","serviço,geral,preço,ambiente"
Ótimo lugar músicas Boa e bom atendimento,"serviço,ambiente"
Ótimo atendimento e bem localizado.,"serviço,localização"
Atendimento muito bom desde o transfer no barco  Garçons atenciosos.,serviço
"Foi deliciosa ,saborosa família gosta do ambiente agradável confortável e atendimentos maravilhosos PARABÉNS  VOLTAREI SEMPRE OBRIGADA.??????????","serviço,comida,ambiente,geral"
